Threshold,Precision,Recall,F1
0.2,0.48628048780487804,0.8529411764705882,0.6194174757281553
0.25,0.5180102915951973,0.8074866310160428,0.6311389759665622
0.3,0.5398886827458256,0.7780748663101604,0.6374589266155531
0.35,0.5637860082304527,0.732620320855615,0.6372093023255814
0.39999999999999997,0.5925925925925926,0.6844919786096256,0.6352357320099256
0.44999999999999996,0.6170212765957447,0.6203208556149733,0.6186666666666667
0.49999999999999994,0.6579804560260586,0.5401069518716578,0.593245227606461
0.5499999999999999,0.7108433734939759,0.4732620320855615,0.5682182985553772
0.5999999999999999,0.74,0.39572192513368987,0.5156794425087108
0.6499999999999999,0.7468354430379747,0.3155080213903743,0.44360902255639095
0.7,0.7851239669421488,0.2540106951871658,0.3838383838383838
